id,launch date,state_control,suit and belt,year,net profit,asset_beginning,asset_end,equity,liability,EBIT,current_asset,current_liability,RD,turnover,circulation
1,33331,0,0,2012,13510780000,1.26E+12,1.61E+12,84798775000,1.52E+12,,,,0,0,0
1,33331,0,0,2013,15231000000,1.61E+12,1.89E+12,1.12E+11,1.78E+12,,,,57299078.98,0,0
1,33331,0,0,2014,19802000000,1.89E+12,2.19E+12,1.31E+11,2.06E+12,,,,59584109.93,0,0
1,33331,0,0,2015,21865000000,2.19E+12,2.51E+12,1.62E+11,2.35E+12,,,,64895710.46,0,0
1,33331,0,0,2016,22599000000,2.51E+12,2.95E+12,2.02E+11,2.75E+12,,,,79369115.15,0,0
1,33331,0,0,2017,23189000000,2.95E+12,3.25E+12,2.22E+11,3.03E+12,,,,89999740.58,0,0
1,33331,0,0,2018,24818000000,3.25E+12,3.42E+12,2.40E+11,3.18E+12,,,,89731935.24,0,0
2,33267,1,0,2012,15662588423,2.96E+11,3.79E+11,82138194988,2.97E+11,21828441256,3.63E+11,2.60E+11,0,0,0
2,33267,1,0,2013,18297549871,3.79E+11,4.79E+11,1.05E+11,3.74E+11,25046699882,4.42E+11,3.29E+11,0,0,0
2,33267,1,0,2014,19287524028,4.79E+11,5.08E+11,1.16E+11,3.93E+11,25870592566,4.65E+11,3.46E+11,0,0,0
2,33267,1,0,2015,25949438026,5.08E+11,6.11E+11,1.36E+11,4.75E+11,34210403366,5.47E+11,4.20E+11,0,0,0
2,33267,1,0,2016,28350255481,6.11E+11,8.31E+11,1.62E+11,6.69E+11,40079749807,7.21E+11,5.80E+11,0,0,0
2,33267,1,0,2017,37208387330,8.31E+11,1.17E+12,1.87E+11,9.79E+11,52700068006,1.02E+12,8.47E+11,23575577.76,0,0
2,33267,1,0,2018,49272294535,1.17E+12,1.53E+12,2.36E+11,1.29E+12,71801613688,1.30E+12,1.12E+12,35200496.96,0,0
4,33252,0,0,2012,7814225.29,196307219.5,192913568.9,148055837.9,44857730.94,10110271.22,133080060,44057730.94,0,0,0
4,33252,0,0,2013,5796749.79,192913568.9,242152079.6,144506815.2,97645264.41,10334688.91,174264481.1,74845264.41,8157976.62,0,0
4,33252,0,0,2014,15624813.56,242152079.6,338282581.1,157384459.4,180898121.8,19933402.21,264071607.4,150098121.8,7879285.75,0,0
4,33252,0,0,2015,6857151.71,338282581.1,398673507.1,163295984.7,235377522.4,10499076.33,326529113,204577522.4,8959494.22,0,6733219
4,33252,0,0,2016,39716316.22,398673507.1,223716293,178199802.1,45516490.93,48687152.37,134232376.1,36700970.53,13749556.5,0,25428686
4,33252,0,0,2017,5892241.41,223716293,268844295.6,184092043.5,84752252.15,8424734.36,145429822.5,70290412.41,43899968.36,0,0
4,33252,0,0,2018,-21612682.1,268844295.6,351177470.2,183326601.7,167850868.4,-27607358.95,301566235.2,167050868.4,53865108.44,0,0
5,33217,0,0,2012,22021617.89,1260586163,1319702418,682099361.5,637603056.5,51131710.48,353285546.4,637250814,0,0,0
5,33217,0,0,2013,-42344755.22,1319702418,1188653949,624244271.5,564409677.7,-35261448.27,260831899.3,564079909.5,0,0,0
5,33217,0,0,2014,43163944.16,1188653949,1366663808,669715028.8,696948779.1,74471875.11,244575037.9,646671091,0,0,0
5,33217,0,0,2015,-54031716.5,1366663808,2194008790,1213199125,980809665.5,-42269385.01,775003059.8,931160075.6,0,0,0
5,33217,0,0,2016,116962419.9,2194008790,2527235374,1355334901,1171900473,147817639.6,939790121,1162141451,11257290000,0,0
5,33217,0,0,2017,22935991.94,2527235374,2912099984,1404367908,1507732076,102403306.2,1183094134,1374656201,11446592000,0,0
5,33217,0,0,2018,156748626.1,2912099984,3121423379,1579315571,1542107808,205245240.3,1754999552,1532922782,11842008000,0,0
6,33721,1,0,2012,629565380,8321974063,9343430260,3548961831,5794468428,851221840.9,7726927035,4524701408,0,0,0
6,33721,1,0,2013,698009106,9343430260,9968160025,4186908808,5781251217,959630173.6,7703301272,3079324258,0,0,0
