Decriptive statistics						
	(1)	(2)	(3)	(4)	(5)	(6)
	treat 0			treat 1		
VARIABLES	N	mean	sd	N	mean	sd
						
netprofit	16,150	4.082e+08	1.985e+09	1,351	1.857e+09	8.877e+09
asset_beginning	16,150	1.036e+10	3.514e+10	1,351	5.954e+10	2.242e+11
asset_end	16,150	1.194e+10	4.091e+10	1,351	6.619e+10	2.395e+11
equity	16,150	4.811e+09	1.409e+10	1,351	2.414e+10	1.122e+11
liability	16,150	7.126e+09	2.948e+10	1,351	4.205e+10	1.405e+11
current_asset	16,150	6.163e+09	2.692e+10	1,351	3.315e+10	1.077e+11
current_liability	16,150	5.061e+09	2.210e+10	1,351	3.043e+10	1.014e+11
performance	16,150	0.0345	0.963	1,351	0.0252	0.0703
current_ratio	16,150	2.553	3.869	1,351	1.667	1.780
ROA	16,150	0.0376	0.195	1,351	0.0294	0.0773
ROE	16,150	0.0555	3.635	1,351	-0.0171	1.597
						
Number of id	2,502	2,502	2,502	2,502	2,502	2,502
